Data;IPCA;IPCA-E;INPC;IGPM;INCC;TR;ENCOGE;SELIC
01/08/1995;6,30411602;6,354194111;6,430257738;9,961370675;9,120867762;2,131468412;6,4323623;5,0743
01/09/1995;6,242317081;6,260906603;6,365331358;9,746938038;9,064666827;2,077454592;6,3674146;5,0359
01/10/1995;6,181123954;6,200759238;6,291718255;9,816636155;8,999867779;2,037918965;6,2937775;5,0027
01/11/1995;6,095181889;6,118767751;6,20485035;9,765853716;8,923128871;2,004839119;6,2068811;4,9718
01/12/1995;6,006880743;6,03071925;6,112550832;9,650053079;8,858462098;1,976379258;6,1145514;4,943
01/01/1996;5,914612783;5,949801943;6,013330873;9,582020731;8,782928909;1,950245962;6,015299;4,9152
01/02/1996;5,836404957;5,85437562;5,926799599;9,419070806;8,651427215;1,926168851;5,9287394;4,8894
01/03/1996;5,776902857;5,784956147;5,885015985;9,328583546;8,641921102;1,907853458;5,8869421;4,8659
01/04/1996;5,756754218;5,749310422;5,867998789;9,291417875;8,558052191;1,892524014;5,8699193;4,8437
01/05/1996;5,685121684;5,709345007;5,813929247;9,261780178;8,536710415;1,880115253;5,8158321;4,823
01/06/1996;5,616599174;5,634963489;5,740451468;9,120413765;8,356216146;1,869087636;5,7423302;4,8029
01/07/1996;5,550547657;5,573102056;5,665105564;9,028324851;8,229482121;1,857755328;5,6669597;4,7831
01/08/1996;5,489612953;5,497782437;5,597930399;8,908065961;8,168220468;1,846858861;5,5997625;4,7638
01/09/1996;5,46556447;5,459565478;5,570079999;8,88319302;8,149476671;1,835296493;5,571903;4,7441
01/10/1996;5,457378402;5,453566555;5,568966206;8,874318702;8,13158718;1,823262958;5,5707889;4,7251
01/11/1996;5,441055237;5,445942236;5,547884246;8,857489472;8,11049988;1,80986992;5,5497;4,7065
01/12/1996;5,423699398;5,423705045;5,529085356;8,839809852;8,063730245;1,795327765;5,530895;4,6885
01/01/1997;5,39832726;5,412879287;5,510899388;8,775746899;8,016433288;1,77984313;5,512703;4,6705
01/02/1997;5,335369896;5,352397199;5,466619768;8,623117716;7,990862528;1,766769039;5,4684089;4,6532
